month,mrr,mom_growth_pct,nrr_pct,grr_pct,quick_ratio,gross_churn_pct,vs_target_base_pct
2023-07,11545.23,,,,,,0.1419
2023-08,15426.89,33.6,115.6,100.0,1253.1484,-0.0,0.1841
2023-09,17445.2,13.1,111.3,99.9,233.7935,-0.0,0.2023
2023-10,19687.49,12.8,96.7,96.1,4.3055,-0.0,0.222
2023-11,61955.43,214.7,101.8,100.0,,-0.0,0.68
2023-12,66967.61,8.1,99.6,99.5,16.6988,-0.0,0.7159
2024-01,81343.33,21.5,100.8,100.0,480.1907,-0.0,0.8475
2024-02,82795.08,1.8,99.2,99.0,2.8082,-0.0,0.8412
2024-03,87260.5,5.4,104.5,100.0,119.3831,-0.0,0.8651
2024-04,103220.74,18.3,106.9,99.8,77.1135,-0.0,0.9992
2024-05,130932.42,26.9,96.6,96.4,8.5482,1.6,1.2382
2024-06,95608.31,-27.0,64.1,64.1,0.2485,35.1,0.8837
2024-07,100489.21,5.1,100.2,99.3,8.5685,-0.0,0.9084
2024-08,108588.51,8.1,97.9,97.5,4.2259,0.8,0.9604
2024-09,150437.11,38.5,103.0,98.0,20.5831,-0.0,1.3024
2024-10,199543.87,32.6,115.3,99.9,230.4065,-0.0,1.6918
2024-11,206097.68,3.3,100.6,99.9,42.0254,-0.0,1.7119
2024-12,212030.84,2.9,99.2,98.1,2.5214,-0.0,1.7262
2025-01,229470.57,8.2,107.2,99.3,12.3971,0.3,1.8318
2025-02,232289.15,1.2,96.9,96.6,1.3575,2.7,1.8189
2025-03,308721.49,32.9,108.8,98.9,31.0628,0.6,2.3721
2025-04,302999.91,-1.8,97.5,94.8,0.6442,4.2,2.2852
2025-05,321268.39,6.0,105.7,99.7,22.1527,0.2,2.3792
2025-06,325432.03,1.3,100.1,96.5,1.353,2.0,2.3673
2025-07,340018.66,4.5,98.3,96.7,2.348,2.1,2.4302
2025-08,354431.9,4.2,102.6,98.2,3.2955,1.8,2.4898
2025-09,323657.29,-8.7,90.4,89.0,0.2101,10.1,2.2353
2025-10,334554.77,3.4,99.1,97.8,1.7783,1.9,2.2723
2025-11,324088.46,-3.1,94.1,92.4,0.4901,7.3,2.1653
2025-12,328067.55,1.2,96.1,95.0,1.2452,3.5,2.1567
2026-01,356112.13,8.6,101.9,96.6,3.4851,2.8,2.3042
2026-02,381281.34,7.1,102.6,97.5,3.7982,1.6,2.4287
2026-03,474298.1,24.4,99.6,92.3,4.1421,6.9,2.9749
2026-04,439061.35,-7.4,92.6,89.7,0.281,9.6,2.7124
2026-05,388924.11,-11.4,88.6,86.9,0.1312,12.9,2.367
2026-06,409994.48,5.4,105.4,93.4,1.8201,6.1,2.4587
