month,customer_id,name,region,currency,plan,seats,mrr_local,signup_month
2023-07,C0014,Customer 0014,amer,USD,Starter,5,150,2023-07
2023-07,C0023,Customer 0023,amer,USD,Enterprise,20,12000,2023-07
2023-07,C0094,Customer 0094,emea,GBP,Starter,12,360,2023-07
2023-08,C0014,Customer 0014,amer,USD,Starter,5,150,2023-07
2023-08,C0023,Customer 0023,amer,USD,Enterprise,23,13800,2023-07
2023-08,C0044,Customer 0044,amer,CAD,Starter,40,1200,2023-08
2023-08,C0061,Customer 0061,amer,USD,Starter,20,600,2023-08
2023-08,C0091,Customer 0091,amer,USD,Starter,25,750,2023-08
2023-08,C0094,Customer 0094,emea,GBP,Starter,12,360,2023-07
2023-09,C0014,Customer 0014,amer,USD,Starter,5,150,2023-07
2023-09,C0023,Customer 0023,amer,USD,Enterprise,23,13800,2023-07
2023-09,C0032,Customer 0032,emea,GBP,Starter,8,240,2023-09
2023-09,C0044,Customer 0044,amer,CAD,Starter,40,1200,2023-08
2023-09,C0061,Customer 0061,amer,USD,Starter,20,600,2023-08
2023-09,C0091,Customer 0091,amer,USD,Growth,27,2430,2023-08
2023-09,C0094,Customer 0094,emea,GBP,Starter,12,360,2023-07
2023-10,C0008,Customer 0008,amer,USD,Starter,100,3000,2023-10
2023-10,C0014,Customer 0014,amer,USD,Starter,5,150,2023-07
2023-10,C0023,Customer 0023,amer,USD,Enterprise,23,13800,2023-07
2023-10,C0032,Customer 0032,emea,GBP,Starter,11,330,2023-09
2023-10,C0044,Customer 0044,amer,CAD,Starter,40,1200,2023-08
2023-10,C0061,Customer 0061,amer,USD,Starter,20,600,2023-08
2023-10,C0091,Customer 0091,amer,USD,Growth,24,2160,2023-08
2023-10,C0094,Customer 0094,emea,GBP,Starter,12,360,2023-07
2023-10,C0099,Customer 0099,amer,USD,Starter,3,90,2023-10
2023-11,C0008,Customer 0008,amer,USD,Starter,100,3000,2023-10
2023-11,C0014,Customer 0014,amer,USD,Starter,5,150,2023-07
2023-11,C0023,Customer 0023,amer,USD,Enterprise,23,13800,2023-07
2023-11,C0030,Customer 0030,emea,GBP,Starter,5,150,2023-11
2023-11,C0032,Customer 0032,emea,GBP,Starter,11,330,2023-09
2023-11,C0044,Customer 0044,amer,CAD,Starter,45,1350,2023-08
2023-11,C0061,Customer 0061,amer,USD,Starter,20,600,2023-08
2023-11,C0075,Customer 0075,emea,GBP,Enterprise,60,36000,2023-11
2023-11,C0091,Customer 0091,amer,USD,Growth,24,2160,2023-08
2023-11,C0094,Customer 0094,emea,GBP,Starter,12,360,2023-07
2023-11,C0099,Customer 0099,amer,USD,Starter,3,90,2023-10
2023-12,C0005,Customer 0005,amer,USD,Starter,60,1800,2023-12
2023-12,C0008,Customer 0008,amer,USD,Starter,100,3000,2023-10
2023-12,C0011,Customer 0011,amer,USD,Starter,20,600,2023-12
2023-12,C0014,Customer 0014,amer,USD,Starter,7,210,2023-07
2023-12,C0023,Customer 0023,amer,USD,Enterprise,23,13800,2023-07
2023-12,C0030,Customer 0030,emea,GBP,Starter,5,150,2023-11
2023-12,C0032,Customer 0032,emea,GBP,Starter,11,330,2023-09
2023-12,C0037,Customer 0037,amer,CAD,Growth,20,1800,2023-12
2023-12,C0044,Customer 0044,amer,CAD,Starter,45,1350,2023-08
2023-12,C0061,Customer 0061,amer,USD,Starter,20,600,2023-08
2023-12,C0075,Customer 0075,emea,GBP,Enterprise,60,36000,2023-11
2023-12,C0091,Customer 0091,amer,USD,Growth,24,2160,2023-08
2023-12,C0094,Customer 0094,emea,GBP,Starter,12,360,2023-07
2023-12,C0099,Customer 0099,amer,USD,Starter,3,90,2023-10
2023-12,C0124,Customer 0124,amer,CAD,Growth,25,2250,2023-12
2023-12,C0135,Customer 0135,emea,EUR,Starter,10,300,2023-12
2024-01,C0005,Customer 0005,amer,USD,Starter,60,1800,2023-12
2024-01,C0008,Customer 0008,amer,USD,Starter,100,3000,2023-10
2024-01,C0011,Customer 0011,amer,USD,Starter,20,600,2023-12
2024-01,C0014,Customer 0014,amer,USD,Starter,7,210,2023-07
2024-01,C0022,Customer 0022,amer,USD,Enterprise,12,7200,2024-01
2024-01,C0023,Customer 0023,amer,USD,Enterprise,23,13800,2023-07
2024-01,C0030,Customer 0030,emea,GBP,Starter,5,150,2023-11
2024-01,C0032,Customer 0032,emea,GBP,Starter,11,330,2023-09
2024-01,C0037,Customer 0037,amer,CAD,Growth,20,1800,2023-12
2024-01,C0044,Customer 0044,amer,CAD,Starter,45,1350,2023-08
2024-01,C0049,Customer 0049,emea,EUR,Growth,60,5400,2024-01
2024-01,C0057,Customer 0057,amer,USD,Growth,12,1080,2024-01
2024-01,C0061,Customer 0061,amer,USD,Starter,20,600,2023-08
2024-01,C0068,Customer 0068,amer,USD,Growth,8,720,2024-01
2024-01,C0075,Customer 0075,emea,GBP,Enterprise,60,36000,2023-11
2024-01,C0091,Customer 0091,amer,USD,Growth,24,2160,2023-08
2024-01,C0094,Customer 0094,emea,GBP,Starter,12,360,2023-07
2024-01,C0099,Customer 0099,amer,USD,Starter,3,90,2023-10
2024-01,C0124,Customer 0124,amer,CAD,Growth,25,2250,2023-12
2024-01,C0135,Customer 0135,emea,EUR,Starter,9,270,2023-12
2024-02,C0005,Customer 0005,amer,USD,Starter,60,1800,2023-12
2024-02,C0008,Customer 0008,amer,USD,Starter,100,3000,2023-10
2024-02,C0011,Customer 0011,amer,USD,Starter,20,600,2023-12
2024-02,C0014,Customer 0014,amer,USD,Starter,7,210,2023-07
2024-02,C0022,Customer 0022,amer,USD,Enterprise,12,7200,2024-01
2024-02,C0023,Customer 0023,amer,USD,Enterprise,23,13800,2023-07
2024-02,C0024,Customer 0024,amer,USD,Starter,12,360,2024-02
2024-02,C0030,Customer 0030,emea,GBP,Starter,5,150,2023-11
2024-02,C0032,Customer 0032,emea,GBP,Starter,11,330,2023-09
2024-02,C0037,Customer 0037,amer,CAD,Growth,20,1800,2023-12
2024-02,C0044,Customer 0044,amer,CAD,Starter,45,1350,2023-08
2024-02,C0049,Customer 0049,emea,EUR,Growth,60,5400,2024-01
2024-02,C0057,Customer 0057,amer,USD,Growth,12,1080,2024-01
2024-02,C0061,Customer 0061,amer,USD,Starter,20,600,2023-08
2024-02,C0068,Customer 0068,amer,USD,Growth,5,450,2024-01
2024-02,C0075,Customer 0075,emea,GBP,Enterprise,60,36000,2023-11
2024-02,C0091,Customer 0091,amer,USD,Growth,26,2340,2023-08
2024-02,C0094,Customer 0094,emea,GBP,Starter,12,360,2023-07
2024-02,C0099,Customer 0099,amer,USD,Starter,3,90,2023-10
2024-02,C0103,Customer 0103,emea,EUR,Starter,60,1800,2024-02
2024-02,C0124,Customer 0124,amer,CAD,Growth,25,2250,2023-12
2024-02,C0135,Customer 0135,emea,EUR,Starter,9,270,2023-12
2024-03,C0005,Customer 0005,amer,USD,Starter,60,1800,2023-12
2024-03,C0008,Customer 0008,amer,USD,Starter,100,3000,2023-10
2024-03,C0011,Customer 0011,amer,USD,Starter,20,600,2023-12
2024-03,C0014,Customer 0014,amer,USD,Starter,7,210,2023-07
2024-03,C0022,Customer 0022,amer,USD,Enterprise,12,7200,2024-01
2024-03,C0023,Customer 0023,amer,USD,Enterprise,23,13800,2023-07
2024-03,C0024,Customer 0024,amer,USD,Starter,12,360,2024-02
2024-03,C0030,Customer 0030,emea,GBP,Starter,5,150,2023-11
2024-03,C0032,Customer 0032,emea,GBP,Starter,11,330,2023-09
2024-03,C0037,Customer 0037,amer,CAD,Growth,20,1800,2023-12
2024-03,C0044,Customer 0044,amer,CAD,Starter,48,1440,2023-08
2024-03,C0049,Customer 0049,emea,EUR,Growth,60,5400,2024-01
2024-03,C0057,Customer 0057,amer,USD,Growth,12,1080,2024-01
2024-03,C0061,Customer 0061,amer,USD,Starter,20,600,2023-08
2024-03,C0068,Customer 0068,amer,USD,Growth,5,450,2024-01
2024-03,C0075,Customer 0075,emea,GBP,Enterprise,65,39000,2023-11
2024-03,C0091,Customer 0091,amer,USD,Growth,26,2340,2023-08
2024-03,C0092,Customer 0092,amer,USD,Starter,10,300,2024-03
2024-03,C0094,Customer 0094,emea,GBP,Starter,12,360,2023-07
2024-03,C0099,Customer 0099,amer,USD,Starter,6,180,2023-10
2024-03,C0103,Customer 0103,emea,EUR,Starter,60,1800,2024-02
2024-03,C0124,Customer 0124,amer,CAD,Growth,25,2250,2023-12
2024-03,C0129,Customer 0129,amer,CAD,Growth,8,720,2024-03
2024-03,C0135,Customer 0135,emea,EUR,Starter,9,270,2023-12
2024-04,C0005,Customer 0005,amer,USD,Starter,59,1770,2023-12
2024-04,C0008,Customer 0008,amer,USD,Growth,101,9090,2023-10
2024-04,C0011,Customer 0011,amer,USD,Starter,20,600,2023-12
2024-04,C0014,Customer 0014,amer,USD,Starter,7,210,2023-07
2024-04,C0022,Customer 0022,amer,USD,Enterprise,12,7200,2024-01
2024-04,C0023,Customer 0023,amer,USD,Enterprise,23,13800,2023-07
2024-04,C0024,Customer 0024,amer,USD,Starter,12,360,2024-02
2024-04,C0030,Customer 0030,emea,GBP,Starter,3,90,2023-11
2024-04,C0032,Customer 0032,emea,GBP,Starter,11,330,2023-09
2024-04,C0037,Customer 0037,amer,CAD,Growth,20,1800,2023-12
2024-04,C0044,Customer 0044,amer,CAD,Starter,48,1440,2023-08
2024-04,C0049,Customer 0049,emea,EUR,Growth,60,5400,2024-01
2024-04,C0057,Customer 0057,amer,USD,Growth,11,990,2024-01
2024-04,C0060,Customer 0060,amer,USD,Growth,40,3600,2024-04
2024-04,C0061,Customer 0061,amer,USD,Starter,17,510,2023-08
2024-04,C0068,Customer 0068,amer,USD,Growth,5,450,2024-01
2024-04,C0073,Customer 0073,emea,GBP,Growth,25,2250,2024-04
2024-04,C0075,Customer 0075,emea,GBP,Enterprise,65,39000,2023-11
2024-04,C0091,Customer 0091,amer,USD,Growth,26,2340,2023-08
2024-04,C0092,Customer 0092,amer,USD,Starter,10,300,2024-03
2024-04,C0094,Customer 0094,emea,GBP,Starter,12,360,2023-07
